year,lgID,tmID,franchID,confID,divID,rank,playoff,G,W,L,T,OTL,Pts,SoW,SoL,GF,GA,GoalDif,name,PIM,BenchMinor,PPG,PPC,PP%,SHA,PKG,PKC,PK%,SHF
2001,NHL,EDM,EDM,WC,NW,3,,82,38,28,12,4,92,,,205,182,23,Edmonton Oilers,1267,6,51,333,15.315315315315313,7,50,348,14.367816091954023,12
2001,NHL,FLO,FLO,EC,SE,4,,82,22,44,10,6,60,,,180,250,-70,Florida Panthers,1994,26,50,341,14.66275659824047,7,76,393,19.338422391857506,8
2001,NHL,LAK,LAK,WC,PC,3,CQF,82,40,27,11,4,95,,,214,190,24,Los Angeles Kings,1348,16,73,353,20.679886685552407,6,49,366,13.387978142076504,5
2001,NHL,MIN,MIN,WC,NW,5,,82,26,35,12,9,73,,,195,238,-43,Minnesota Wild,1209,16,55,373,14.745308310991955,9,62,362,17.12707182320442,11
2001,NHL,MTL,MTL,EC,NE,4,CSF,82,36,31,12,3,87,,,207,209,-2,Montreal Canadiens,974,24,45,301,14.950166112956811,4,38,276,13.768115942028986,7
2001,NHL,NAS,NAS,WC,CE,4,,82,28,41,13,0,69,,,196,230,-34,Nashville Predators,1071,20,48,337,14.243323442136498,8,50,354,14.124293785310735,6
2001,NHL,NJD,NJD,EC,AT,3,CQF,82,41,28,9,4,95,,,205,187,18,New Jersey Devils,1010,18,44,261,16.85823754789272,8,43,264,16.28787878787879,2
2001,NHL,NYI,NYI,EC,AT,2,CQF,82,42,28,8,4,96,,,239,220,19,New York Islanders,1255,14,59,363,16.2534435261708,10,52,366,14.207650273224044,17
2001,NHL,NYR,NYR,EC,AT,4,,82,36,38,4,4,80,,,227,258,-31,New York Rangers,1753,10,48,326,14.723926380368098,5,80,398,20.100502512562816,8
2001,NHL,OTT,OTT,EC,NE,3,CSF,82,39,27,9,7,94,,,243,208,35,Ottawa Senators,1347,16,55,331,16.61631419939577,5,48,307,15.63517915309446,11
2001,NHL,PHI,PHI,EC,AT,1,CQF,82,42,27,10,3,97,,,234,192,42,Philadelphia Flyers,1242,16,39,299,13.043478260869565,10,40,293,13.651877133105803,8
2001,NHL,PHO,PHO,WC,PC,2,CQF,82,40,27,9,6,95,,,228,210,18,Phoenix Coyotes,1154,16,53,341,15.542521994134898,6,60,356,16.853932584269664,8
2001,NHL,PIT,PIT,EC,AT,5,,82,28,41,8,5,69,,,198,249,-51,Pittsburgh Penguins,1248,16,47,335,14.029850746268657,10,57,352,16.193181818181817,5
2001,NHL,SJS,SJS,WC,PC,1,CSF,82,44,27,8,3,99,,,248,199,49,San Jose Sharks,1249,8,59,368,16.032608695652172,6,54,380,14.210526315789473,15
2001,NHL,STL,STL,WC,CE,2,CSF,82,43,27,8,4,98,,,227,188,39,St. Louis Blues,1343,26,62,356,17.415730337078653,7,56,379,14.775725593667547,5
2001,NHL,TBL,TBL,EC,SE,3,,82,27,40,11,4,69,,,178,219,-41,Tampa Bay Lightning,1072,22,46,311,14.790996784565916,9,40,273,14.652014652014653,6
2001,NHL,TOR,TOR,EC,NE,2,CF,82,43,25,10,4,100,,,249,207,42,Toronto Maple Leafs,1212,12,54,349,15.472779369627506,6,51,328,15.548780487804878,9
2001,NHL,VAN,VAN,WC,NW,2,CQF,82,42,30,7,3,94,,,254,211,43,Vancouver Canucks,1342,28,69,372,18.548387096774192,9,57,379,15.03957783641161,3
2001,NHL,WAS,WAS,EC,SE,2,,82,36,33,11,2,85,,,228,240,-12,Washington Capitals,1043,6,58,299,19.39799331103679,8,58,325,17.846153846153847,2
